							6566	3446020
6092813	2225							
6090588	543							
6090045	68							
6089977	1482							
6088495	227							
6088268	1059							
6087209	1235							
6085974	151							
6085823	363							
6085460	19							
6085441	1169							
6084272	302							
6083970	1377							
6082593	411							
6082182	1072							
6081110	626							
6080484	437							
6080047	251							
6079796	464							
6079332	0							
6079332	1207							
6078125	271							
6077854	1450							
6076404	2980							
6073424	139							
6073285	1556							
6071729	1630							
6070099	198							
6069901	1659							
6068242	543							
6067699	658							
6067041	3608							
6063433	199							
6063234	1595							
6061639	618							
6061021	2260							
6058761	1427							
6057334	1484							
6055850	352							
6055498	2002							
6053496	147							
6053349	533							
6052816	3700							
6049116	166							
6048950	123							
6048827	436							
6048391	2681							
6045710	929							
6044781	275							
6044506	2981							
6041525	297							
6041228	612							
6040616	752							
6039864	3076							
6036788	13							
6036775	1273							
6035502	323							
6035179	1927							
6033252	124							
6033128	1176							
6031952	29							
6031923	1836							
6030087	117							
6029970	389							
6029581	66							
6029515	321							
6029194	105							
6029089	286							
6028803	2373							
6026430	376							
6026054	1302							
6024752	673							
6024079	674							
6023405	926							
6022479	449							
6022030	535							
6021495	2749							
6018746	702							
6018044	955							
6017089	3216							
6013873	1475							
6012398	25							
6012373	2140							
6010233	2517							
6007716	198							
6007518	238							
6007280	357							
6006923	1406							
6005517	834							
6004683	590							
6004093	35							
6004058	2137							
6001921	742							
6001179	652							
6000527	1462							
5999065	852							
5998213	384							
5997829	377							
5997452	1155							
5996297	1327							
5994970	478							
5994492	1856							
5992636	104							
5992532	787							
5991745	239							
5991506	614							
5990892	457							
5990435	1790							
5988645	1786							
5986859	1950							
5984909	4710							
5980199	602							
5979597	811							
5978786	1332							
5977454	541							
5976913	567							
5976346	682							
5975664	469							
5975195	1824							
5973371	19							
5973352	1380							
5971972	44							
5971928	575							
5971353	308							
5971045	711							
5970334	77							
5970257	352							
5969905	2481							
5967424	1304							
5966120	2186							
5963934	233							
5963701	213							
5963488	2556							
5960932	1083							
5959849	271							
5959578	606							
5958972	133							
5958839	24							
5958815	1374							
5957441	329							
5957112	2720							
5954392	884							
5953508	142							
5953366	106							
5953260	412							
5952848	219							
5952629	17							
5952612	1136							
5951476	25							
5951451	774							
5950677	61							
5950616	347							
5950269	1278							
5948991	699							
5948292	1230							
5947062	3007							
5944055	647							
5943408	564							
5942844	1889							
5940955	1428							
5939527	1415							
5938112	803							
5937309	820							
5936489	82							
5936407	1745							
5934662	1485							
5933177	4							
5933173	1768							
5931405	898							
5930507	259							
5930248	605							
5929643	778							
5928865	109							
5928756	1521							
5927235	2084							
5925151	1231							
5923920	554							
5923366	160							
5923206	317							
5922889	162							
5922727	127							
5922600	1580							
5921020	1549							
5919471	1180							
5918291	1147							
5917144	117							
5917027	1502							
5915525	1074							
5914451	184							
5914267	83							
5914184	118							
5914066	164							
5913902	1702							
5912200	764							
5911436	537							
5910899	1119							
5909780	679							
5909101	691							
5908410	2555							
5905855	1965							
5903890	45							
5903845	115							
5903730	758							
5902972	268							
5902704	162							
5902542	78							
5902464	3098							
5899366	2405							
5896961	3059							
5893902	817							
5893085	244							
5892841	53							
5892788	302							
5892486	1929							
5890557	639							
5889918	651							
5889267	471							
5888796	3025							
5885771	1							
5885770	339							
5885431	1311							
5884120	56							
5884064	1770							
5882294	1713							
5880581	1018							
5879563	677							
5878886	253							
5878633	590							
5878043	242							
5877801	2721							
5875080	4201							
5870879	562							
5870317	4709							
5865608	648							
5864960	333							
5864627	266							
5864361	1113							
5863248	378							
5862870	1356							
5861514	181							
5861333	331							
5861002	933							
5860069	468							
5859601	299							
5859302	2466							
5856836	583							
5856253	326							
5855927	2343							
5853584	810							
5852774	623							
5852151	428							
5851723	1332							
5850391	2434							
5847957	591							
5847366	924							
5846442	2482							
5843960	627							
5843333	345							
5842988	1095							
5841893	75							
5841818	509							
5841309	45							
5841264	2159							
5839105	613							
5838492	171							
5838321	13							
5838308	2074							
5836234	341							
5835893	2067							
5833826	23							
5833803	2567							
5831236	269							
5830967	1881							
5829086	1423							
5827663	1679							
5825984	776							
5825208	741							
5824467	494							
5823973	507							
5823466	2910							
5820556	743							
5819813	531							
5819282	42							
5819240	1037							
5818203	2086							
5816117	2209							
5813908	100							
5813808	360							
5813448	1025							
5812423	893							
5811530	394							
5811136	266							
5810870	2802							
5808068	155							
5807913	3789							
5804124	1582							
5802542	295							
5802247	344							
5801903	1265							
5800638	222							
5800416	37							
5800379	171							
5800208	765							
5799443	644							
5798799	1157							
5797642	1022							
5796620	1688							
5794932	1066							
5793866	297							
5793569	163							
5793406	83							
5793323	205							
5793118	2535							
5790583	1986							
5788597	1556							
5787041	238							
5786803	390							
5786413	65							
5786348	1220							
5785128	2400							
5782728	240							
5782488	229							
5782259	629							
5781630	369							
5781261	472							
5780789	921							
5779868	1410							
5778458	183							
5778275	63							
5778212	168							
5778044	2016							
5776028	649							
5775379	1139							
5774240	183							
5774057	1533							
5772524	21							
5772503	1156							
5771347	1522							
5769825	440							
5769385	395							
5768990	768							
5768222	978							
5767244	251							
5766993	605							
5766388	259							
5766129	950							
5765179	583							
5764596	510							
5764086	475							
5763611	37							
5763574	466							
5763108	731							
5762377	189							
5762188	56							
5762132	65							
5762067	672							
5761395	8							
5761387	184							
5761203	276							
5760927	389							
5760538	2264							
5758274	1019							
5757255	40							
5757215	387							
5756828	302							
5756526	5							
5756521	2707							
5753814	45							
5753769	2037							
5751732	319							
5751413	1037							
5750376	602							
5749774	368							
5749406	789							
5748617	1070							
5747547	310							
5747237	308							
5746929	416							
5746513	3247							
5743266	434							
5742832	1548							
5741284	2339							
5738945	108							
5738837	1178							
5737659	241							
5737418	4721							
5732697	1599							
5731098	652							
5730446	27							
5730419	434							
5729985	634							
5729351	99							
5729252	632							
5728620	3352							
5725268	717							
5724551	211							
5724340	238							
5724102	735							
5723367	382							
5722985	552							
5722433	411							
5722022	484							
5721538	397							
5721141	1278							
5719863	953							
5718910	889							
5718021	358							
5717663	1522							
5716141	240							
5715901	145							
5715756	458							
5715298	67							
5715231	806							
5714425	369							
5714056	1164							
5712892	1044							
5711848	128							
5711720	205							
5711515	11							
5711504	107							
5711397	1069							
5710328	2160							
5708168	739							
5707429	1324							
5706105	4013							
5702092	1809							
5700283	417							
5699866	39							
5699827	195							
5699632	801							
5698831	1499							
5697332	1487							
5695845	588							
5695257	6							
5695251	234							
5695017	1721							
5693296	466							
5692830	2156							
5690674	1459							
5689215	485							
5688730	303							
5688427	3666							
5684761	830							
5683931	702							
5683229	458							
5682771	313							
5682458	240							
5682218	856							
5681362	740							
5680622	1278							
5679344	123							
5679221	1227							
5677994	917							
5677077	61							
5677016	776							
5676240	1787							
5674453	268							
5674185	15							
5674170	1008							
5673162	3702							
5669460	1605							
5667855	1091							
5666764	705							
5666059	2096							
5663963	289							
5663674	232							
5663442	325							
5663117	187							
5662930	1355							
5661575	1070							
5660505	101							
5660404	533							
5659871	78							
5659793	331							
5659462	1063							
5658399	2544							
5655855	1854							
5654001	2573							
5651428	1514							
5649914	132							
5649782	108							
5649674	706							
5648968	1134							
5647834	1686							
5646148	185							
5645963	407							
5645556	238							
5645318	452							
5644866	1689							
5643177	126							
5643051	172							
5642879	1128							
5641751	464							
5641287	1702							
5639585	3565							
5636020	252							
5635768	894							
5634874	2282							
5632592	381							
5632211	86							
5632125	1469							
5630656	589							
5630067	358							
5629709	988							
5628721	341							
5628380	499							
5627881	329							
5627552	1542							
5626010	34							
5625976	126							
5625850	186							
5625664	1220							
5624444	52							
5624392	1346							
5623046	885							
5622161	2844							
5619317	1422							
5617895	955							
5616940	317							
5616623	224							
5616399	1065							
5615334	207							
5615127	1119							
5614008	54							
5613954	531							
5613423	858							
5612565	1226							
5611339	763							
5610576	1595							
5608981	360							
5608621	1633							
5606988	2200							
5604788	98							
5604690	55							
5604635	196							
5604439	1537							
5602902	132							
5602770	459							
5602311	1344							
5600967	1845							
5599122	3676							
5595446	1370							
5594076	294							
5593782	2977							
5590805	586							
5590219	282							
5589937	1377							
5588560	702							
5587858	808							
5587050	1051							
5585999	27							
5585972	1931							
5584041	5067							
5578974	371							
5578603	92							
5578511	2916							
5575595	1817							
5573778	808							
5572970	861							
5572109	5890							
5566219	56							
5566163	559							
5565604	1884							
5563720	1740							
5561980	18							
5561962	61							
5561901	373							
5561528	60							
5561468	1440							
5560028	1662							
5558366	7							
5558359	2228							
5556131	965							
5555166	641							
5554525	296							
5554229	1736							
5552493	397							
5552096	1564							
5550532	480							
5550052	93							
5549959	86							
5549873	378							
5549495	574							
5548921	959							
5547962	128							
5547834	1001							
5546833	1591							
5545242	76							
5545166	1483							
5543683	549							
5543134	13							
5543121	1376							
5541745	37							
5541708	34							
5541674	324							
5541350	2170							
5539180	2003							
5537177	961							
5536216	1381							
5534835	1417							
5533418	789							
5532629	1526							
5531103	1512							
5529591	1471							
5528120	725							
5527395	84							
5527311	1744							
5525567	378							
5525189	1194							
5523995	503							
5523492	1238							
5522254	4701							
5517553	2065							
5515488	688							
5514800	369							
5514431	5524							
5508907	657							
5508250	186							
5508064	189							
5507875	224							
5507651	2489							
5505162	476							
5504686	1209							
5503477	35							
5503442	1505							
5501937	290							
5501647	6576							
5495071	113							
5494958	1082							
5493876	565							
5493311	892							
5492419	637							
5491782	73							
5491709	373							
5491336	987							
5490349	130							
5490219	1297							
5488922	684							
5488238	919							
5487319	824							
5486495	425							
5486070	1332							
5484738	126							
5484612	376							
5484236	1725							
5482511	425							
5482086	23							
5482063	339							
5481724	5094							
5476630	449							
5476181	1457							
5474724	2714							
5472010	675							
5471335	871							
5470464	2303							
5468161	584							
5467577	2021							
5465556	513							
5465043	96							
5464947	443							
5464504	654							
5463850	1576							
5462274	4205							
5458069	1730							
5456339	226							
5456113	279							
5455834	37							
5455797	769							
5455028	716							
5454312	1555							
5452757	191							
5452566	629							
5451937	654							
5451283	1035							
5450248	1626							
5448622	606							
5448016	1081							
5446935	83							
5446852	1464							
5445388	2352							
5443036	1184							
5441852	202							
5441650	222							
5441428	52							
5441376	1756							
5439620	454							
5439166	1622							
5437544	2623							
5434921	140							
5434781	991							
5433790	550							
5433240	452							
5432788	1928							
5430860	626							
5430234	3029							
5427205	1413							
5425792	163							
5425629	1673							
5423956	3340							
5420616	675							
5419941	99							
5419842	1334							
5418508	120							
5418388	157							
5418231	602							
5417629	1085							
5416544	27							
5416517	4083							
5412434	3541							
5408893	2833							
5406060	3047							
5403013	341							
5402672	2974							
5399698	1123							
5398575	935							
5397640	1043							
5396597	1915							
5394682	798							
5393884	1205							
5392679	421							
5392258	594							
5391664	758							
5390906	682							
5390224	149							
5390075	834							
5389241	1756							
5387485	3270							
5384215	995							
5383220	1899							
5381321	3037							
5378284	0							
5378284	180							
5378104	210							
5377894	2039							
5375855	1210							
5374645	15							
5374630	417							
5374213	4456							
5369757	1178							
5368579	6							
5368573	1618							
5366955	387							
5366568	2670							
5363898	454							
5363444	3021							
5360423	651							
5359772	1161							
5358611	476							
5358135	1083							
5357052	328							
5356724	254							
5356470	1100							
5355370	616							
5354754	37							
5354717	146							
5354571	2662							
5351909	957							
5350952	2510							
5348442	564							
5347878	24							
5347854	241							
5347613	150							
5347463	1016							
5346447	2128							
5344319	856							
5343463	332							
5343131	106							
5343025	1857							
5341168	713							
5340455	1367							
5339088	2545							
5336543	354							
5336189	306							
5335883	1943							
5333940	773							
5333167	490							
5332677	205							
5332472	682							
5331790	1193							
5330597	27							
5330570	330							
5330240	497							
5329743	20							
5329723	2946							
5326777	1645							
5325132	813							
5324319	122							
5324197	241							
5323956	2671							
5321285	1215							
5320070	124							
5319946	811							
5319135	182							
5318953	2146							
5316807	104							
5316703	1691							
5315012	113							
5314899	238							
5314661	1301							
5313360	47							
5313313	3148							
5310165	1229							
5308936	1931							
5307005	147							
5306858	1018							
5305840	1671							
5304169	1111							
5303058	289							
5302769	494							
5302275	148							
5302127	2257							
5299870	1002							
5298868	160							
5298708	16							
5298692	185							
5298507	251							
5298256	19							
5298237	1193							
5297044	110							
5296934	598							
5296336	142							
5296194	911							
5295283	117							
5295166	2192							
5292974	788							
5292186	30							
5292156	157							
5291999	363							
5291636	24							
5291612	684							
5290928	4046							
5286882	279							
5286603	305							
5286298	560							
5285738	585							
5285153	2120							
5283033	2320							
5280713	262							
5280451	275							
5280176	3060							
5277116	152							
5276964	462							
5276502	13							
5276489	1957							
5274532	44							
5274488	29							
5274459	856							
5273603	54							
5273549	416							
5273133	3990							
5269143	723							
5268420	402							
5268018	1018							
5267000	764							
5266236	33							
5266203	1841							
5264362	883							
5263479	203							
5263276	271							
5263005	299							
5262706	172							
5262534	2724							
5259810	1879							
5257931	155							
5257776	2314							
5255462	2686							
5252776	1523							
5251253	914							
5250339	572							
5249767	913							
5248854	942							
5247912	244							
5247668	331							
5247337	153							
5247184	5066							
5242118	2203							
5239915	403							
5239512	631							
5238881	449							
5238432	817							
5237615	200							
5237415	111							
5237304	226							
5237078	717							
5236361	164							
5236197	889							
5235308	278							
5235030	115							
5234915	259							
5234656	1042							
5233614	713							
5232901	310							
5232591	2676							
5229915	159							
5229756	1448							
5228308	2081							
5226227	1641							
5224586	2053							
5222533	71							
5222462	728							
5221734	2822							
5218912	72							
5218840	153							
5218687	2471							
5216216	105							
5216111	818							
5215293	3534							
5211759	1135							
5210624	2874							
5207750	987							
5206763	88							
5206675	1121							
5205554	1366							
5204188	1668							
5202520	1114							
5201406	2257							
5199149	96							
5199053	871							
5198182	275							
5197907	1324							
5196583	457							
5196126	0							
5196126	858							
5195268	873							
5194395	139							
5194256	246							
5194010	49							
5193961	1850							
5192111	310							
5191801	283							
5191518	966							
5190552	667							
5189885	1579							
5188306	1009							
5187297	1359							
5185938	62							
5185876	1923							
5183953	2924							
5181029	2188							
5178841	89							
5178752	4516							
5174236	1325							
5172911	2027							
5170884	240							
5170644	119							
5170525	278							
5170247	181							
5170066	92							
5169974	870							
5169104	2133							
5166971	522							
5166449	427							
5166022	847							
5165175	594							
5164581	57							
5164524	606							
5163918	47							
5163871	464							
5163407	635							
5162772	1170							
5161602	441							
5161161	399							
5160762	799							
5159963	428							
5159535	440							
5159095	515							
5158580	5493							
5153087	115							
5152972	705							
5152267	1033							
5151234	127							
5151107	627							
5150480	363							
5150117	298							
5149819	1567							
5148252	30							
5148222	553							
5147669	354							
5147315	862							
5146453	113							
5146340	95							
5146245	1981							
5144264	1121							
5143143	1431							
5141712	399							
5141313	716							
5140597	361							
5140236	157							
5140079	41							
5140038	461							
5139577	2128							
5137449	25							
5137424	1041							
5136383	151							
5136232	1250							
5134982	254							
5134728	332							
5134396	2496							
5131900	710							
5131190	241							
5130949	1276							
5129673	1450							
5128223	752							
5127471	539							
5126932	335							
5126597	488							
5126109	353							
5125756	286							
5125470	40							
5125430	94							
5125336	14							
5125322	1641							
5123681	3198							
5120483	2507							
5117976	600							
5117376	2006							
5115370	472							
5114898	971							
5113927	2766							
5111161	750							
5110411	451							
5109960	209							
5109751	38							
5109713	42							
5109671	479							
5109192	1223							
5107969	197							
5107772	1451							
5106321	287							
5106034	617							
5105417	1026							
5104391	107							
5104284	1188							
5103096	28							
5103068	496							
5102572	480							
5102092	1174							
5100918	4571							
5096347	263							
5096084	1639							
5094445	3172							
5091273	1732							
5089541	2441							
5087100	1690							
5085410	702							
5084708	113							
5084595	26							
5084569	530							
5084039	200							
5083839	465							
5083374	1841							
5081533	1352							
5080181	780							
5079401	273							
5079128	60							
5079068	2877							
5076191	391							
5075800	433							
5075367	1014							
5074353	1094							
5073259	254							
5073005	3281							
5069724	217							
5069507	220							
5069287	1826							
5067461	1136							
5066325	222							
5066103	182							
5065921	271							
5065650	1367							
5064283	3455							
5060828	1897							
5058931	1775							
5057156	458							
5056698	332							
5056366	2031							
5054335	751							
5053584	950							
5052634	252							
5052382	48							
5052334	1004							
5051330	270							
5051060	454							
5050606	294							
5050312	1720							
5048592	1324							
5047268	232							
5047036	1002							
5046034	121							
5045913	4483							
5041430	4384							
5037046	275							
5036771	910							
5035861	1019							
5034842	2625							
5032217	188							
5032029	607							
5031422	40							
5031382	2439							
5028943	481							
5028462	982							
5027480	264							
5027216	1875							
5025341	402							
5024939	219							
5024720	2341							
5022379	469							
5021910	427							
5021483	500							
5020983	388							
5020595	1155							
5019440	1306							
5018134	203							
5017931	934							
5016997	342							
5016655	653							
5016002	207							
5015795	3221							
5012574	265							
5012309	2532							
5009777	348							
5009429	1034							
5008395	1819							
5006576	1309							
5005267	784							
5004483	56							
5004427	1065							
5003362	1250							
5002112	247							
5001865	2062							
4999803	2753							
4997050	1899							
4995151	315							
4994836	708							
4994128	3967							
4990161	901							
4989260	119							
4989141	1381							
4987760	118							
4987642	42							
4987600	902							
4986698	68							
4986630	2089							
4984541	2220							
4982321	75							
4982246	104							
4982142	370							
4981772	616							
4981156	887							
4980269	13							
4980256	760							
4979496	1367							
4978129	2260							
4975869	444							
4975425	993							
4974432	166							
4974266	468							
4973798	46							
4973752	592							
4973160	2565							
4970595	1943							
4968652	172							
4968480	260							
4968220	1177							
4967043	1697							
4965346	1998							
4963348	1314							
4962034	122							
4961912	2117							
4959795	84							
4959711	1885							
4957826	793							
4957033	4002							
4953031	455							
4952576	237							
4952339	135							
4952204	1700							
4950504	87							
4950417	656							
4949761	554							
4949207	563							
4948644	1083							
4947561	1144							
4946417	129							
4946288	496							
4945792	75							
4945717	3285							
4942432	1186							
4941246	189							
4941057	746							
4940311	788							
4939523	614							
4938909	691							
4938218	848							
4937370	2973							
4934397	1324							
4933073	335							
4932738	162							
4932576	1887							
4930689	851							
4929838	1087							
4928751	422							
4928329	10							
4928319	592							
4927727	3847							
4923880	1498							
4922382	234							
4922148	2601							
4919547	365							
4919182	2163							
4917019	381							
4916638	1073							
4915565	812							
4914753	189							
4914564	2377							
4912187	297							
4911890	1430							
4910460	648							
4909812	336							
4909476	1902							
4907574	135							
4907439	143							
4907296	1133							
4906163	315							
4905848	789							
4905059	1944							
4903115	915							
4902200	2579							
4899621	243							
4899378	2887							
4896491	2258							
4894233	111							
4894122	464							
4893658	137							
4893521	1385							
4892136	1927							
4890209	908							
4889301	160							
4889141	1211							
4887930	395							
4887535	1232							
4886303	241							
4886062	374							
4885688	413							
4885275	764							
4884511	1524							
4882987	1322							
4881665	613							
4881052	1485							
4879567	1154							
4878413	561							
4877852	904							
4876948	352							
4876596	571							
4876025	361							
4875664	432							
4875232	1440							
4873792	1340							
4872452	817							
4871635	967							
4870668	4879							
4865789	352							
4865437	493							
4864944	4045							
4860899	2438							
4858461	1143							
4857318	795							
4856523	475							
4856048	587							
4855461	7168							
4848293	386							
4847907	255							
4847652	440							
4847212	394							
4846818	976							
4845842	136							
4845706	385							
4845321	617							
4844704	1062							
4843642	225							
4843417	1699							
4841718	1769							
4839949	459							
4839490	2730							
4836760	183							
4836577	195							
4836382	2559							
4833823	1551							
4832272	1475							
4830797	3478							
4827319	4974							
4822345	6561							
4815784	1230							
4814554	1218							
4813336	1348							
4811988	1574							
4810414	2851							
4807563	340							
4807223	427							
4806796	1834							
4804962	657							
4804305	1236							
4803069	94							
4802975	1093							
4801882	518							
4801364	160							
4801204	547							
4800657	1595							
4799062	194							
4798868	1917							
4796951	3521							
4793430	648							
4792782	244							
4792538	2503							
4790035	501							
4789534	644							
4788890	3109							
4785781	1229							
4784552	1178							
4783374	1396							
4781978	645							
4781333	889							
4780444	3041							
4777403	1348							
4776055	853							
4775202	886							
4774316	2051							
4772265	1789							
4770476	83							
4770393	581							
4769812	1439							
4768373	1341							
4767032	462							
4766570	787							
4765783	1086							
4764697	259							
4764438	296							
4764142	2839							
4761303	613							
4760690	202							
4760488	2438							
4758050	3944							
4754106	1440							
4752666	161							
4752505	1							
4752504	524							
4751980	357							
4751623	156							
4751467	2019							
4749448	365							
4749083	70							
4749013	1058							
4747955	678							
4747277	1743							
4745534	1216							
4744318	152							
4744166	3889							
4740277	345							
4739932	452							
4739480	407							
4739073	287							
4738786	594							
4738192	422							
4737770	925							
4736845	266							
4736579	1468							
4735111	1825							
4733286	164							
4733122	127							
4732995	1813							
4731182	3018							
4728164	1364							
4726800	1896							
4724904	1488							
4723416	3777							
4719639	195							
4719444	991							
4718453	3055							
4715398	1296							
4714102	323							
4713779	2473							
4711306	7							
4711299	553							
4710746	607							
4710139	137							
4710002	726							
4709276	29							
4709247	502							
4708745	887							
4707858	78							
4707780	1048							
4706732	1010							
4705722	281							
4705441	3578							
4701863	574							
4701289	188							
4701101	156							
4700945	1118							
4699827	1870							
4697957	366							
4697591	1677							
4695914	231							
4695683	571							
4695112	4558							
4690554	1619							
4688935	3251							
4685684	593							
4685091	1075							
4684016	943							
4683073	185							
4682888	56							
4682832	108							
4682724	1177							
4681547	51							
4681496	2010							
4679486	3072							
4676414	64							
4676350	2987							
4673363	196							
4673167	167							
4673000	595							
4672405	669							
4671736	489							
4671247	3910							
4667337	4427							
4662910	826							
4662084	505							
4661579	1054							
4660525	135							
4660390	613							
4659777	159							
4659618	2508							
4657110	772							
4656338	1343							
4654995	445							
4654550	252							
4654298	1145							
4653153	549							
4652604	456							
4652148	483							
4651665	759							
4650906	1344							
4649562	828							
4648734	1117							
4647617	1353							
4646264	1384							
4644880	1926							
4642954	52							
4642902	1579							
4641323	46							
4641277	1956							
4639321	731							
4638590	1738							
4636852	345							
4636507	183							
4636324	763							
4635561	336							
4635225	726							
4634499	148							
4634351	634							
4633717	1747							
4631970	715							
4631255	86							
4631169	3171							
4627998	59							
4627939	1816							
4626123	508							
4625615	1220							
4624395	97							
4624298	3064							
4621234	191							
4621043	712							
4620331	2132							
4618199	924							
4617275	574							
4616701	3129							
4613572	634							
4612938	908							
4612030	799							
4611231	688							
4610543	842							
4609701	274							
4609427	1393							
4608034	1232							
4606802	845							
4605957	1203							
4604754	806							
4603948	2493							
4601455	1139							
4600316	772							
4599544	379							
4599165	3575							
4595590	731							
4594859	61							
4594798	1563							
4593235	953							
4592282	871							
4591411	626							
4590785	543							
4590242	1227							
4589015	254							
4588761	438							
4588323	2628							
4585695	1193							
4584502	55							
4584447	1046							
4583401	1487							
4581914	120							
4581794	2603							
4579191	1025							
4578166	599							
4577567	97							
4577470	978							
4576492	2588							
4573904	387							
4573517	856							
4572661	3281							
4569380	327							
4569053	929							
4568124	325							
4567799	725							
4567074	277							
4566797	403							
4566394	1563							
4564831	2002							
4562829	2427							
4560402	563							
4559839	1093							
4558746	470							
4558276	688							
4557588	794							
4556794	95							
4556699	701							
4555998	585							
4555413	1783							
4553630	1363							
4552267	147							
4552120	2078							
4550042	2334							
4547708	2152							
4545556	2623							
4542933	1654							
4541279	1258							
4540021	1594							
4538427	2953							
4535474	1642							
4533832	31							
4533801	962							
4532839	241							
4532598	289							
4532309	1260							
4531049	1449							
4529600	5529							
4524071	143							
4523928	1100							
4522828	480							
4522348	371							
4521977	967							
4521010	2018							
4518992	285							
4518707	809							
4517898	421							
4517477	1121							
4516356	957							
4515399	982							
4514417	230							
4514187	1079							
4513108	780							
4512328	2821							
4509507	206							
4509301	522							
4508779	262							
4508517	2130							
4506387	1383							
4505004	1386							
4503618	2176							
4501442	1029							
4500413	764							
4499649	117							
4499532	1458							
4498074	1695							
4496379	691							
4495688	2199							
4493489	798							
4492691	632							
4492059	2930							
4489129	190							
4488939	1629							
4487310	1665							
4485645	3421							
4482224	172							
4482052	2326							
4479726	2077							
4477649	367							
4477282	503							
4476779	3195							
4473584	67							
4473517	1085							
4472432	1176							
4471256	540							
4470716	249							
4470467	339							
4470128	909							
4469219	1903							
4467316	74							
4467242	1606							
4465636	597							
4465039	915							
4464124	805							
4463319	696							
4462623	1576							
4461047	1305							
4459742	316							
4459426	2095							
4457331	13							
4457318	1495							
4455823	634							
4455189	134							
4455055	1804							
4453251	363							
4452888	1324							
4451564	109							
4451455	1296							
4450159	1074							
4449085	381							
4448704	484							
4448220	308							
4447912	1911							
4446001	1292							
4444709	1242							
4443467	150							
4443317	137							
4443180	3953							
4439227	1113							
4438114	737							
4437377	315							
4437062	641							
4436421	165							
4436256	122							
4436134	1554							
4434580	147							
4434433	1869							
4432564	184							
4432380	1910							
4430470	374							
4430096	65							
4430031	67							
4429964	1397							
4428567	1398							
4427169	182							
4426987	1206							
4425781	641							
4425140	801							
4424339	1327							
4423012	418							
4422594	1698							
4420896	187							
4420709	1162							
4419547	1255							
4418292	1775							
4416517	2448							
4414069	2393							
4411676	563							
4411113	1757							
4409356	449							
4408907	1124							
4407783	2182							
4405601	869							
4404732	1014							
4403718	465							
4403253	2674							
4400579	707							
4399872	18							
4399854	3562							
4396292	338							
4395954	278							
4395676	32							
4395644	867							
4394777	1857							
4392920	699							
4392221	2785							
4389436	1693							
4387743	865							
4386878	1976							
4384902	569							
4384333	975							
4383358	1030							
4382328	614							
4381714	661							
4381053	657							
4380396	1038							
4379358	520							
4378838	1023							
4377815	1224							
4376591	165							
4376426	2038							
4374388	668							
4373720	2543							
4371177	207							
4370970	868							
4370102	462							
4369640	2352							
4367288	53							
4367235	415							
4366820	152							
4366668	411							
4366257	670							
4365587	146							
4365441	1241							
4364200	1810							
4362390	478							
4361912	254							
4361658	283							
4361375	3110							
4358265	580							
4357685	1631							
4356054	4472							
4351582	1844							
4349738	98							
4349640	153							
4349487	1702							
4347785	492							
4347293	1							
4347292	351							
4346941	693							
4346248	876							
4345372	606							
4344766	2587							
4342179	962							
4341217	1231							
4339986	512							
4339474	1120							
4338354	1979							
4336375	116							
4336259	2439							
4333820	392							
4333428	1773							
4331655	968							
4330687	403							
4330284	98							
4330186	464							
4329722	73							
4329649	1744							
4327905	2944							
4324961	61							
4324900	323							
4324577	229							
4324348	87							
4324261	356							
4323905	804							
4323101	498							
4322603	725							
4321878	89							
4321789	1242							
4320547	546							
4320001	1738							
4318263	559							
4317704	3524							
4314180	2920							
4311260	280							
4310980	574							
4310406	105							
4310301	686							
4309615	1177							
4308438	2							
4308436	732							
4307704	2210							
4305494	872							
4304622	161							
4304461	146							
4304315	147							
4304168	2191							
4301977	1135							
4300842	49							
4300793	162							
4300631	1581							
4299050	339							
4298711	55							
4298656	2161							
4296495	247							
4296248	1630							
4294618	1520							
4293098	1004							
4292094	502							
4291592	117							
4291475	1298							
4290177	710							
4289467	1276							
4288191	256							
4287935	531							
4287404	842							
4286562	419							
4286143	203							
4285940	866							
4285074	716							
4284358	1331							
4283027	398							
4282629	1258							
4281371	692							
4280679	462							
4280217	336							
4279881	3356							
4276525	61							
4276464	660							
4275804	1774							
4274030	180							
4273850	2054							
4271796	1146							
4270650	1459							
4269191	559							
4268632	170							
4268462	992							
4267470	464							
4267006	403							
4266603	917							
4265686	115							
4265571	4678							
4260893	298							
4260595	1709							
4258886	541							
4258345	140							
4258205	234							
4257971	1290							
4256681	1100							
4255581	249							
4255332	995							
4254337	332							
4254005	364							
4253641	527							
4253114	1686							
4251428	104							
4251324	1046							
4250278	148							
4250130	642							
4249488	941							
4248547	864							
4247683	196							
4247487	1706							
4245781	1532							
4244249	3108							
4241141	812							
4240329	2036							
4238293	398							
4237895	200							
4237695	975							
4236720	249							
4236471	171							
4236300	223							
4236077	204							
4235873	745							
4235128	780							
4234348	1254							
4233094	2053							
4231041	229							
4230812	806							
4230006	102							
4229904	234							
4229670	773							
4228897	472							
4228425	1683							
4226742	1751							
4224991	682							
4224309	637							
4223672	348							
4223324	1069							
4222255	259							
4221996	949							
4221047	1211							
4219836	6623							
4213213	1838							
4211375	808							
4210567	935							
4209632	578							
4209054	638							
4208416	995							
4207421	563							
4206858	662							
4206196	2471							
4203725	3682							
4200043	726							
4199317	192							
4199125	431							
4198694	1066							
4197628	153							
4197475	2026							
4195449	1316							
4194133	3730							
4190403	117							
4190286	349							
4189937	424							
4189513	2176							
4187337	220							
4187117	2087							
4185030	777							
4184253	323							
